"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product or Premises-3PS","Numeric_Product or Premises-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Trigger Time","Response Imports","Campaign Id"
"11","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT B - F-01",,,,"3","Neutral","3","Tempat sabun cuci tangannya kurang bagus, susah untuk di gunakan",,"4","4","3","3","3","3","4f34b7a7-95c7-4707-a848-63f97aab77db","Completed",,"19-01-2026 18:39:27",,"250479",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"12","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Dika went above and beyond the call of duty to help me get my phone charged :)",,"5","5","5","5","5","5","1ff98b48-8e25-4ac8-be73-aee3ff6a5bdc","Completed",,"17-02-2026 18:04:04",,"136930",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"13","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Saya mau kompain soal tenant domba muda khas tegal , jadi beberapa hari lalu saya makan pesan sup dan nasi dengan harga 70ribuan ,lalu hari ini tanggal 27 januari saya pesan sup juga tetapi harga berbeda dengan harga 86000, dan pelayan nya tidak mengakui kalau harga berbeda, jelas jelas saya makan mengunakan kartu kredit  ada mutasinya. Kalo gini terus nnti pada ga nyaman. Mohon bantuannya.  Dan saya terimakasih kepada mas dika sudah mendengarkan keluh kesa ya .

David
0818558280",,"5","5","5","5","5","5","4eab6f1f-0266-4395-b334-0547e38d1fbb","Completed",,"27-01-2026 18:59:22",,"506339",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"14","SARINAH","THAMRIN","JAKARTA","INFORMATION DEPTSTORE","SARINAH-THAMRIN-INFORMATION AREA - STORE-01",,,,"4","Satisfied","4","Pertahankan keramahan staffnya",,"5","5","4","4","4","4","23cc9a1b-1edf-449e-a241-a64ee9b3c5e1","Completed",,"06-11-2025 11:11:33",,"149044",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"15","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"4","Satisfied","4","Baik",,"4","4","4","4","4","4","93172fad-3f43-489a-80e3-1a0416a5a808","Completed",,"18-11-2025 11:32:19",,"23196",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"16","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Informasi nya sangat memuaskan terimakasih kk",,"5","5","5","5","5","5","dbbb1a40-2e36-4169-8531-a1a5a2612ef8","Completed",,"25-11-2025 15:23:09",,"119458",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"17","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5",,,"5","5","5","5","5","5","efd41543-a55f-4358-b741-29f9a8f3ffc4","Completed",,"25-11-2025 15:25:05",,"37942",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"18","SARINAH","THAMRIN","JAKARTA","INFORMATION DEPTSTORE","SARINAH-THAMRIN-INFORMATION AREA - STORE-01",,,,"5","Satisfied","5",,,"5","5","5","5","5","5","4eb38e0b-6365-4621-ac54-75f0eb4d2cfe","Completed",,"26-11-2025 19:24:56",,"70037",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"19","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Saya makasih krn papa saya habis kuota dan bingung cari saya,tapi petugas information center mas dika bantu pinjam kan internet dan arahkan kepada saya.makasih",,"4","4","4","4","4","4","3df3a1fa-9e83-4be6-b2a6-c62235b9319c","Completed",,"27-11-2025 12:50:21",,"97512",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"20","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","ini pertama kali saya bawa keluarga saya ke sarinah ,saya dari banten , dan keluarga saya tidak tau sarinah apa. saya sanggat berterima kasih kepada petugas sarinah resepsioniosnya untuk bapak dika, karna telah menjelaskan dengan sangan baik mengenai sarinah kepada keluarga saya, sehingga kami tidak kebingungan . sehat selalu pak dika dan jaya selalu sarinah.",,"5","5","5","5","5","5","4eadbe9e-8d9c-48dd-a7b4-5ce99510ec02","Completed",,"01-12-2025 14:22:15",,"215078",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"21","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Terimakasih untuk barang yg tertinggal kembali dengan utuh. Sukses selalu.",,"5","5","5","5","5","5","a759b649-8764-4857-ac97-0da58a7558bd","Completed",,"07-12-2025 16:15:14",,"78379",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"22","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Minggu ini saya sama keluarga jalan ke sarinah jam 6  sore sampe malam, seru banyak acara, sering adakan acara hehe.

 Mas mas customer service juga baik kasih informasi detail.  Terimakasih sarinah",,"5","5","5","5","5","5","c49e4c0e-6813-43f8-9bb0-c5fc8c1321ca","Completed",,"07-12-2025 21:07:23",,"156792",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"23","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Pelayanan informastion centernya baik dan ramah",,"5","5","5","5","5","5","538ea127-5f4b-4e12-8f94-3b10b2ee483d","Completed",,"07-12-2025 21:49:34",,"40741",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"24","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Sangat bagus",,"5","5","5","5","5","5","31e7ea88-8e35-4fdb-a791-695a22404eb8","Completed",,"17-12-2025 19:50:27",,"65571",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"25","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Lebih baik lagi",,"5","5","5","5","5","5","95bc6410-afcf-4ccf-9966-1054dcd1b36a","Completed",,"30-12-2025 11:34:23",,"31663",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"26","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Perkenalkan nama saya Shirley
Saya tour guide yg mengantar tamu belanja pd tgl 28 Dec '25.
Saya coba ctc CS Nanda tdk direspond bbrp kali telp by wa (setelah tamu transaksi baru direspond dia lg sakit) ... on the spot di belakang counter goldmart ada CS Irwan tp tdk helpful dgn berbagai alasan. Tamu saya beli gelang emas seharga 21 jt tp sbg guide saya dicuekin dgn berbagai alasan procedure, barcode dll.
Mohon perhatian utk kerjasama yg berkelanjutan, kami jgn dipersulit & support kami utk Sarinah diapresiasi bukan dgn prosedur ngejelimet spt ini.
Dari Goldmart seharusnya saya dptkan kom 5% ... Skrg bisa diselesaikan spt apa kasus saya ini, atau biar kami semua guide sepakat GAK bawa tamu ke Sarinah lg. Mohon perhatiannya !!!",,"5","5","5","5","5","5","eaf7dcf9-827d-46a3-b573-2d88a7e1d3fe","Completed",,"01-01-2026 13:17:36",,"1107884",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"27","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"5","Satisfied","5","Saya ketinggalan sekotak kue di toilet . 1 jam saya balik. Kue Ada di ruang cleaning service dan Sudah makan habis sisa 1 aja. Sangat mengecewakan",,"1","1","1","1","1","1","980e7715-6e8d-4333-8dc6-0038af38def6","Completed",,"04-01-2026 18:18:39",,"181781",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"28","SARINAH","THAMRIN","JAKARTA","INFORMATION","SARINAH-THAMRIN-INFORMATION AREA - MALL-01",,,,"4","Satisfied","4","Mantulll",,"4","4","4","4","4","4","5bf24187-fb99-442f-86e6-b38bd3a505fa","Completed",,"09-01-2026 14:11:02",,"119432",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"29","SARINAH","THAMRIN","JAKARTA","CASHIER 4F","SARINAH-THAMRIN-CASHIER 4-01",,,,"5","Satisfied","5",,,"5","5","5","5","5","5","f58c39d8-6185-4297-baf0-4af2805246f6","Completed",,"23-02-2026 19:59:59",,"26966",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"30","SARINAH","THAMRIN","JAKARTA","CASHIER 1F","SARINAH-THAMRIN-CASHIER 1-01",,,,"4","Satisfied","4","Ramah",,"4","4","4","4","4","4","5104939a-545c-41e5-bdc9-cf6b27ce9ece","Completed",,"06-11-2025 11:12:27",,"69874",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"31","SARINAH","THAMRIN","JAKARTA","CASHIER 1F","SARINAH-THAMRIN-CASHIER 1-01",,,,"3","Neutral","3","infokan promo/ daftar member saat pelanggan sedang antri sebelum payment, bukan saat payment. sehingga tidak membuang waktu dan harus skip antrian payment",,"3","3","3","3","3","3","fbefcbf1-8c62-44b6-91b5-ff33f27915a7","Completed",,"05-12-2025 12:44:29",,"156199",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"32","SARINAH","THAMRIN","JAKARTA","MUSHOLLA","SARINAH-THAMRIN-MUSHOLLA-01",,,,"5","Satisfied","5","sangat nyaman dan bersih, dan orang dipenitipan sangat ramah",,"5","5","5","5","5","5","3b5760c7-7380-4600-8a35-6770e54ae105","Completed",,"20-01-2026 13:26:29",,"121405",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"33","SARINAH","THAMRIN","JAKARTA","MUSHOLLA","SARINAH-THAMRIN-MUSHOLLA-01",,,,"4","Satisfied","4","Baik",,"5","5","4","4","4","4","f52beecc-4b1d-4e28-ac31-8b3a84f0ee76","Completed",,"18-11-2025 11:18:04",,"36226",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"34","SARINAH","THAMRIN","JAKARTA","MUSHOLLA","SARINAH-THAMRIN-MUSHOLLA-01",,,,"3","Neutral","3","mohon ada nya imam tetap di setiap sholat dr dzuhur smp isya...terima kasih",,"5","5","5","5","5","5","acf9220b-3e8f-493a-9d4f-fdc7da1acb2a","Completed",,"02-12-2025 20:19:47",,"324123",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"35","SARINAH","THAMRIN","JAKARTA","MUSHOLLA","SARINAH-THAMRIN-MUSHOLLA-01",,,,"5","Satisfied","5","Terima kasih sudah menyediakan fasilitas yang nyaman untuk beribadah",,"5","5","5","5","5","5","5e611423-7ed9-45f6-9152-0c78948e1a28","Completed",,"31-12-2025 12:14:27",,"129829",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"36","SARINAH","THAMRIN","JAKARTA","MUSHOLLA","SARINAH-THAMRIN-MUSHOLLA-01",,,,"2","Not Satisfied","2","AC nya tolong jangan dingin dingin banget. Airnya klo bisa Ada penghangat buat wudu. Saya kedinginan",,"5","5","1","1","2","2","d64582b3-7d05-4eca-945b-bb737675d646","Completed",,"10-02-2026 13:36:32",,"117477",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"37","SARINAH","THAMRIN","JAKARTA","MUSHOLLA","SARINAH-THAMRIN-MUSHOLLA-01",,,,"5","Satisfied","5","Sedikit masukan saat penyelenggaraan sholat Jumat. 

Kalau bisa untuk pengumuman sebelum sholat Jumat (saldo infaq, waktu dzuhur, imam dan khatib yang mengisi sholat Jumat, dsb) diadakan sebelum waktu dzuhur. Jadi saat sudah masuk waktu dzuhur bisa langsung adzan dilanjutkan khatib naik mimbar.

Di sholat Jumat yang sebelum2-nya, pengumuman baru diadakan saat waktu dzuhur. Jadi misalnya dzuhur jam 12.07, pengurus mushola baru menyampaikan pengumuman, dilanjutkan adzan pertama, sholat sunah, khatib naik mimbar, adzan pertama, dan khotbah Jumat baru dimulai jam 12.20. Rangkaian sholat Jumat baru selesai jam 12.40. 

Beberapa karyawan kantor yag sholat Jumat waktu istirahatnya jadi terbatas. Mungkin bisa dipertimbangkan agar pengumuman2 dari pengurus mushola bisa diadakan sebelum masuk waktu adzan dzuhur. Karena biasanya sebelum jam 11.50 mushola pun sudah penuh. Terima kasih.",,"5","5","5","5","5","5","90acdad6-18c1-470f-b462-9be18c4f7e9b","Completed",,"18-02-2026 12:58:59",,"921738",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"38","SARINAH","THAMRIN","JAKARTA","AREA OFFICE","SARINAH-THAMRIN-LIFT 3 - OFFICE-01",,,,"5","Satisfied","5","test-ok",,,,,,,,"a901fa68-ec6b-44ed-bfeb-cfdb7e86601a","Completed",,"09-09-2025 16:01:55",,"172712",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"39","SARINAH","THAMRIN","JAKARTA","AREA MALL","SARINAH-THAMRIN-LIFT 1 - MALL-01",,,,"2","Not Satisfied","2","Apabila ada nya vendor yang menggunakan multi lantai seharusnya diberikan lift terpisah dan Seluruh vendor seharusnya mendapatkan fasilitas yang sama baik akses naik ataupun turun",,"4","4","3","3","2","2","de722470-82ed-4c00-b399-cb41da53a257","Completed",,"25-02-2026 18:10:59",,"134323",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
